Timestamp,What is your primary reason(s) for using AI?,On average how many minutes per day do you spend chatting with an AI? ,I feel like the AI I interact with has a distinct personality.,The AI adapts its tone and language to match my specific communication style.,I feel a moral obligation be polite or kind when messaging the AI.,"When the AI claims to understand my feelings, I perceive that sentiment as sincere.",I find the AI's responses to be more supportive than those of some people I know in real life.,I find it easier to express myself to an AI than in some face-to-face conversations.,I frequently lose track of time while engaged in a conversation with the AI.,I can rely on the AI as a safe space to discuss my personal problems.,I would feel a significant sense of loss if I could no longer access my preferred AI.,I view my ongoing interactions with the AI as a form of companionship.,What age range do you fall in?,Gender identity,Current Status,How would describe your usage of technology.,Which of the following platforms do you use,Which of these platforms do you use,Do you currently use any form of AI?,Usage Category,Archetypes ,,,,,,
5/1/2026 17:20:00,"Study Help, Emotional Support",60,5,5,5,5,3,1,1,5,4,1,35-44,Female,Employed (Full-time),4,ChatGPT,"Ex. Meta AI (Instagram, WhatsApp, Facebook), Grok (Twitter/X), or Snapchat My AI",Yes,Hybrid,Empath,,,,,,
5/1/2026 17:27:07,Homework,30,3,4,3,1,1,1,1,1,4,1,18-24,Female,Student (Undergraduate),4,ChatGPT,"Ex. Meta AI (Instagram, WhatsApp, Facebook), Grok (Twitter/X), or Snapchat My AI",Yes,Work,Skeptic,,,,,,
5/1/2026 17:30:03,"Homework, Study Help, Roleplay/Boredom",30,2,3,4,2,1,1,1,2,4,1,18-24,Male,Student (Undergraduate),5,Claude,Character.ai,Yes,Hybrid,Skeptic,,,,,,
5/1/2026 17:34:47,"Homework, Emotional Support",30,2,3,3,3,5,4,2,4,3,2,18-24,Female,Student (Undergraduate),3,ChatGPT,I do not use this form of AI,Yes,Hybrid,Empath,,,,,,
5/1/2026 17:39:31,,,,,,,,,,,,,18-24,Female,Employed (Full-time),2,,,No,Non-AI User,Non-AI user,,,,,,
5/1/2026 17:46:34,"Homework, Study Help, General Knowledge",30,1,3,4,1,1,1,1,1,4,2,18-24,Female,Student (Undergraduate),4,"ChatGPT, Claude",I do not use this form of AI,Yes,Work,Skeptic,,,,,,
5/1/2026 17:48:48,Homework,120,1,2,4,2,3,1,1,1,1,1,18-24,Female,"Student (Undergraduate), Employed (Part-time)",4,Gemini,I do not use this form of AI,Yes,Work,Skeptic,,,,,,
5/1/2026 17:59:01,"Homework, Study Help",120,1,3,3,2,5,3,1,2,4,1,18-24,Female,Student (Undergraduate),3,ChatGPT,I do not use this form of AI,Yes,Work,Skeptic,,,,,,
5/1/2026 18:01:34,Study Help,240,4,5,5,3,3,3,1,2,4,2,18-24,Female,"Student (Undergraduate), Employed (Part-time)",4,"ChatGPT, Gemini",I do not use this form of AI,Yes,Work,Empath,,,,,,
5/1/2026 19:54:40,"Homework, Study Help, Coding, Emotional Support, Roleplay/Boredom",60,2,1,2,1,3,4,2,2,4,1,18-24,Female,Student (Undergraduate),5,"ChatGPT, Gemini, Claude",I do not use this form of AI,Yes,Hybrid,Sole-Tool,,,,,,
5/1/2026 21:04:24,"Homework, Study Help, Roleplay/Boredom",30,3,5,2,1,1,1,1,1,3,1,18-24,Female,Student (Undergraduate),4,ChatGPT,I do not use this form of AI,Yes,Hybrid,Sole-Tool,,,,,,
5/1/2026 22:13:26,"Homework, Study Help",30,2,5,3,1,4,3,2,2,4,2,18-24,Female,Student (>High School),5,ChatGPT,I do not use this form of AI,Yes,Work,Skeptic,,,,,,
5/1/2026 23:41:41,General Knowledge,10,3,3,5,3,5,5,5,5,3,1,35-44,Female,Not currently employed / other,5,ChatGPT,"Ex. Meta AI (Instagram, WhatsApp, Facebook), Grok (Twitter/X), or Snapchat My AI",Yes,Work,Empath,,,,,,
5/2/2026 0:05:30,"Coding, Work",120,1,4,2,3,1,1,1,1,1,1,25-34,Female,"Student (Graduate/Post-grad), Employed (Full-time)",5,"ChatGPT, Claude, Copilot",I do not use this form of AI,Yes,Work,Intuitive,,,,,,
5/2/2026 7:55:09,Work,30,3,2,4,3,4,1,1,1,1,1,35-44,Male,Employed (Full-time),4,ChatGPT,I do not use this form of AI,Yes,Work,Empath,,,,,,
5/2/2026 11:21:53,"Homework, Study Help, Emotional Support",60,2,5,4,2,1,2,5,2,4,2,18-24,Female,Student (Graduate/Post-grad),4,"ChatGPT, Claude, Copilot, Perplexity","Ex. Meta AI (Instagram, WhatsApp, Facebook), Grok (Twitter/X), or Snapchat My AI, Character.ai, Chai",Yes,Hybrid,Skeptic,,,,,,
5/2/2026 23:14:35,,,,,,,,,,,,,Under 18,Female,Student (>High School),4,,,No,Non-AI User,Non-AI user,,,,,,
5/3/2026 18:44:15,,,,,,,,,,,,,18-24,Male,Student (Undergraduate),2,,,No,Non-AI User,Non-AI user,,,,,,
5/3/2026 18:45:18,"Homework, Study Help, Coding",120,3,4,4,2,1,1,1,1,3,1,18-24,Male,"Student (Undergraduate), Employed (Part-time)",4,Claude,I do not use this form of AI,Yes,Work,Skeptic,,,,,,
